"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86831939212055","7.23519803341258","10.0261792105306","10.6347325992922","26.3745032100275","26.0461298009966","21.4425588041328","22.000786163522","21.0362451108214","20.7719361585578","20.3183533653846","20.4268177083943","20.5876691453648","20.311566765912","26.1948752380219","25.9340244138733","25.6711617820448","26.4204520857169","26.5172934158421","27.200707780588","26.9482604728658","27.8955739972338","26.2308466448946","25.9158329472761","24.6705288731078","24.5058352032767","13.1555416906324","8.35129425218293","8.408362637892","","",
"Afghanistan","AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.0460598969515529","0.0536043035470314","0.0737647910285059","0.0742326845713751","0.0862924517957971","0.101467397111853","0.107636955493275","0.123734289182204","0.115497740266114","0.0868234604347645","0.150290626842792","0.166042043909414","0.130763849669935","0.136279785317741","0.155649443523339","0.168928648642295","0.154787205500433","0.182963615640528","0.163159570965847","0.168376670540656","0.132858608266526","0.151972881166886","0.164803882774775","0.203635581728026","0.234987712825851","0.297827727116494","0.270891120891651","0.271611659148617","0.248472561210195","0.235694613397337","0.213449805430825","0.187672723698956","0.0996664742897102","0.0891540360218903","0.0800391696659047","0.0726986180506249","0.066044698489874","0.0596483821733739","0.0552071700173436","0.0423325971841624","0.0385063399794444","0.0390023343469998","0.0487155482755786","0.0518295999397525","0.0393778277264556","0.0529482148912851","0.0637284718722302","0.0854175063621491","0.154101422395248","0.241722682109421","0.293836993688923","0.412016938260872","0.350370580694022","0.315601773217989","0.299444990875517","","",
"Angola","AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.097471603786658","0.0790380850140726","0.201289076264294","0.192534734618004","0.201003360893017","0.191528410931022","0.246412785252077","0.154911578263116","0.256315997860753","0.419550563692223","0.528697987908295","0.492302233390965","0.635214721020957","0.670624323299386","0.652023363139318","0.574693142669183","0.415850303449046","0.4347550383791","0.646179203875004","0.636944237015683","0.598717342859383","0.571201904006347","0.485251544641937","0.51507154665097","0.487395693877811","0.443121443010594","0.426768721688243","0.518427800084648","0.4455573439148","0.423524277056425","0.420284253935093","0.405450105094649","0.400678652518884","0.430889258172387","0.281092579375306","0.769173425961214","0.71230634143843","0.489209377359545","0.471373910158447","0.574083594706029","0.580352661444089","0.573047492749628","0.720768849363576","0.49797507263628","0.99616547816155","0.979740025619175","1.09888389819981","1.19784398157759","1.18152675944487","1.23249451530002","1.24340558491456","1.2527892548547","1.33084301775372","1.25461721786853","1.29132831504477","","",
"Albania","ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","1.25819492789657","1.37418604651163","1.43995596379167","1.18168114415975","1.11174195966673","1.16609904273455","1.33305546458662","1.36374630010816","1.51955127697956","1.5589675720987","1.75323990542637","1.98949792330655","2.51591439803203","2.30389741687392","1.84900669071079","1.91063363704144","2.01358456245734","2.27587639136105","2.53062504042839","2.89820851758249","1.93505831031996","2.69302391440235","2.62485678513424","2.6832399189862","2.69429137362284","2.65801538201043","2.66535622064854","2.41406081518223","2.33159853051997","2.78324307461439","1.67810665434977","1.31221260013653","0.774724910911141","0.723790291969695","0.600203707768206","0.654537133005248","0.636625312930768","0.490365059535664","0.560271437384331","0.960164411868586","0.978174680894664","1.05330417594038","1.22954070946998","1.4126971959616","1.37621273504355","1.41249821101668","1.30257636722163","1.32233485532238","1.48431113888781","1.49560019934969","1.57857358391855","1.80371472482914","1.692908325435","1.74921107861166","1.97876331208568","","",
"Andorra","AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.46733566933901","7.18245663566904","6.91205338948512","6.73605484574634","6.4942004243981","6.66205168363352","7.06507147296457","7.23971271783233","7.66078388575348","7.97545440422557","8.01928429423459","7.78695000074249","7.59061514082999","7.31576070618458","7.35862494097896","7.29987193629782","6.74621871565977","6.51946591197707","6.42788662191006","6.12165234069759","6.12259470212791","5.86712994471708","5.91659691135616","5.90075258701787","5.83216995064565","","",
"Arab World","ARB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.643689011230035","0.685150884303753","0.760854506665655","0.874941189074893","0.999097655175867","1.16570538554791","1.2726506720981","1.3314043954937","1.54494252657415","1.78991339222996","1.80124546196884","1.99348621498905","2.10987160338598","2.39679972634052","2.27344074510749","2.18426352533819","2.56871003517159","2.63162836579279","2.74324132986639","2.8426551160777","3.06920881865171","2.90705790904351","2.70111659026007","2.79335692817064","2.95631815401986","3.03555801330691","3.25553658846138","3.16882185605327","3.26448903189015","3.2261271283551","2.98900807203007","3.2072246193607","3.38524699849718","3.63837854997673","3.64485889411981","3.39819976513588","3.30479368251442","3.12484849155533","3.32954827588646","3.30955339218347","3.68444127176971","3.59030296450523","3.58803558092715","3.77988901128049","4.05146516877077","4.16848625623531","4.26823986615522","4.10022627300118","4.39040143437389","4.54215145137159","4.61575820147529","4.53775523602928","4.81363072670862","4.65047416848542","4.86023383242015","","",
"United Arab Emirates","ARE","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.118757691560334","0.10883673994341","0.163018351234085","0.175222592102958","0.132354958167604","0.146326864500339","0.159950399112668","5.38368480705649","6.78577355153553","100.697669512315","64.7450137792517","75.9815320937706","70.4836278398846","77.1209872750986","66.4606991624307","56.0511379626356","61.2902079472226","51.844643284406","52.5828993900937","38.4518097979077","35.4041197869499","32.8816281559461","30.9964608316625","28.2049909820759","35.1882124692259","35.8909695683555","32.0839895993664","30.5583724926604","29.2102299183078","31.028826173391","27.9592452103943","28.9391353210567","27.8613684494539","29.8904510046865","31.4043975873089","28.8469907955668","15.9700815240644","15.4244313909948","28.7143215022488","26.2284277090733","35.6782592296172","30.4911534224565","24.1512489051195","28.5525530661701","27.7012080194113","25.3623726461177","23.6310894324949","22.4398012133221","22.8239471921498","21.9085560836759","19.4436902679391","19.0764887762721","19.8176842234884","18.9541637858011","23.3020225078816","","",
"Argentina","ARG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","2.36747303164667","2.44261589837139","2.52239210450438","2.31635633230104","2.53837930331286","2.64171434418192","2.79265379931697","2.85816229692368","2.96985457978706","3.27585099491921","3.45115979780302","3.65007861838162","3.63785851312529","3.73079111779821","3.72669896624252","3.64182249762391","3.76877407358616","3.74987139380395","3.76275036851475","3.99873311936549","3.86885306737151","3.57496786293304","3.56708678940913","3.57204209387298","3.56014253446353","3.31032707035356","3.37724499958583","3.66916872512268","3.8204455678453","3.62920190365843","3.42648198325077","3.5277038100775","3.60574911697767","3.45716454940218","3.54209501878213","3.65664558182821","3.8114572852461","3.85120269540893","3.85787091570762","4.01069876316536","3.83557366545331","3.56859986610094","3.2915477348924","3.52558427010785","4.06905837986386","4.14123681380597","4.43482145227027","4.38266888371704","4.68291239530182","4.41088989357125","4.55849961171786","4.60029069868628","4.56938367601348","4.46290375453177","4.74679745467325","","",
"Armenia","ARM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69247300896651","0.759983503305583","0.824155363222745","1.05997745965458","0.809046418882557","1.03230297540508","1.08169212438447","0.975803629439398","1.12891860406022","1.16116768366138","1.00320149299729","1.13613830710125","1.21475152402243","1.46003047705684","1.48117796180497","1.72657017117982","1.91153764158145","1.5094118779305","1.46562189488728","1.71007076482979","1.97606007379797","1.89971173409172","1.9027589101995","","",
"American Samoa","ASM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
