,timestamp,ID,tide,location,latitude,longitude,country,year
8153,2015-12-31,817,121.0,Tan-Nowa,34.339,135.178,JPN,2015
12243,2015-12-31,1299,121.0,North Sydney,46.217,-60.25,CAN,2015
4809,2015-12-31,428,121.0,Cedar Key Ii,29.135,-83.03200000000001,USA,2015
12522,2015-12-31,1328,120.0,Cape Lambert,-20.588,117.186,AUS,2015
1790,2015-12-31,148,119.0,Baltimore,39.266999999999996,-76.578,USA,2015
6231,2015-12-31,540,118.0,"Apra Harbour, Guam",13.437999999999999,144.653,GUM,2015
14013,2015-12-31,1490,118.0,Ulleung,37.491,130.914,KOR,2015
14259,2015-12-31,1546,118.0,Geomundo,34.028,127.309,KOR,2015
10498,2015-12-31,1116,117.0,Wyndham,-15.453,128.101,AUS,2015
7329,2015-12-31,723,117.0,Dalian,38.867,121.68299999999999,CHN,2015
10126,2015-12-31,1102,117.0,Oura,32.977,130.221,JPN,2015
13097,2015-12-31,1389,116.0,Toyama,36.762,137.225,JPN,2015
10901,2015-12-31,1158,116.0,Yarmouth,43.833,-66.133,CAN,2015
4010,2015-12-31,373,116.0,Thessaloniki,40.633,22.935,GRC,2015
278,2015-12-31,12,116.0,New York (The Battery),40.7,-74.013,USA,2015
8981,2015-12-31,956,116.0,Incheon,37.452,126.59200000000001,KOR,2015
14197,2015-12-31,1544,115.0,Choshi-Gyoko,35.744,140.858,JPN,2015
4501,2015-12-31,408,115.0,Khios,38.372,26.141,GRC,2015
9878,2015-12-31,1094,114.0,Hakata,33.619,130.408,JPN,2015
8705,2015-12-31,910,114.0,Mossel Bay,-34.179,22.135,ZAF,2015
15776,2015-12-31,2295,114.0,"Beaufort, North Carolina",34.72,-76.67,USA,2015
10374,2015-12-31,1111,113.0,Nantucket Island,41.285,-70.097,USA,2015
6014,2015-12-31,523,113.0,Midway Island,28.212,-177.36,UMI,2015
12119,2015-12-31,1293,112.0,Oita Ii,33.266,131.687,JPN,2015
10064,2015-12-31,1100,112.0,Nagasaki,32.735,129.866,JPN,2015
9785,2015-12-31,1090,111.0,Uragami,33.558,135.89600000000002,JPN,2015
7815,2015-12-31,786,111.0,Reedy Point,39.558,-75.57300000000001,USA,2015
8308,2015-12-31,824,111.0,Petropavlovsk-Kamchatsky,52.983000000000004,158.65,RUS,2015
6850,2015-12-31,636,110.0,Kiptopeke Beach,37.165,-75.988,USA,2015
10777,2015-12-31,1154,109.0,"Bundaberg, Burnett Heads",-24.767,152.38299999999998,AUS,2015
2283,2015-12-31,188,109.0,Key West,24.555,-81.807,USA,2015
15095,2015-12-31,1638,109.0,Clearwater Beach,27.978,-82.83200000000001,USA,2015
14785,2015-12-31,1627,109.0,Seogwipo,33.24,126.56200000000001,KOR,2015
11725,2015-12-31,1246,108.0,Hay Point,-21.283,149.3,AUS,2015
2901,2015-12-31,235,107.0,Boston,42.353,-71.053,USA,2015
4840,2015-12-31,429,107.0,New London,41.36,-72.09,USA,2015
5921,2015-12-31,520,107.0,St. Petersburg,27.76,-82.62700000000001,USA,2015
6881,2015-12-31,637,107.0,Townsville I,-19.25,146.833,AUS,2015
13004,2015-12-31,1386,107.0,Kuchinotsu,32.605,130.195,JPN,2015
8826,2015-12-31,934,106.0,Kanmen,28.083000000000002,121.28299999999999,CHN,2015
13159,2015-12-31,1391,106.0,Chichijima,27.083000000000002,142.183,JPN,2015
11787,2015-12-31,1248,106.0,Sultan Shoal,1.2329999999999999,103.65,SGP,2015
10591,2015-12-31,1148,104.0,Tajiri,35.594,134.316,JPN,2015
8552,2015-12-31,834,103.0,Bunbury,-33.323,115.66,AUS,2015
9909,2015-12-31,1095,103.0,Saigo,36.201,133.33100000000002,JPN,2015
11570,2015-12-31,1240,102.0,Katakolon,37.645,21.32,GRC,2015
12761,2015-12-31,1351,102.0,Raffles Light House,1.167,103.75,SGP,2015
14290,2015-12-31,1549,102.0,King Bay,-20.624000000000002,116.749,AUS,2015
8950,2015-12-31,955,101.0,Busan,35.096,129.036,KOR,2015
10560,2015-12-31,1147,101.0,Sasebo Ii,33.158,129.724,JPN,2015
3919,2015-12-31,367,101.0,Woods Hole (Ocean. Inst.),41.523,-70.672,USA,2015
14321,2015-12-31,1567,100.0,Kochi Iii,33.499,133.569,JPN,2015
6384,2015-12-31,564,100.0,Mackay,-21.1,149.233,AUS,2015
743,2015-12-31,61,100.0,Marseille,43.278999999999996,5.354,FRA,2015
12336,2015-12-31,1321,99.0,Argentia,47.3,-53.983000000000004,CAN,2015
2684,2015-12-31,216,98.0,Port Pirie,-33.178000000000004,138.012,AUS,2015
7360,2015-12-31,724,98.0,Sembawang,1.4669999999999999,103.833,SGP,2015
5396,2015-12-31,484,97.0,La Coruna I,43.369,-8.398,ESP,2015
9630,2015-12-31,1068,97.0,Bridgeport,41.173,-73.182,USA,2015
8401,2015-12-31,827,97.0,Nagaevo,59.55,150.717,RUS,2015
8645,2015-12-31,837,96.0,Newcastle V,-32.924,151.789,AUS,2015
13617,2015-12-31,1445,96.0,Gadeokdo,35.025,128.811,KOR,2015
4377,2015-12-31,396,96.0,Wilmington,34.227,-77.953,USA,2015
10622,2015-12-31,1149,96.0,Miyako Ii,39.643,141.975,JPN,2015
14971,2015-12-31,1634,95.0,"Sand Point, Popof Is., Ak",55.336999999999996,-160.502,USA,2015
13800,2015-12-31,1468,95.0,Nice,43.696000000000005,7.2860000000000005,FRA,2015
8370,2015-12-31,826,95.0,Simons Bay,-34.188,18.44,ZAF,2015
10157,2015-12-31,1103,95.0,Wakkanai,45.408,141.685,JPN,2015
5334,2015-12-31,474,95.0,Dieppe,49.928999999999995,1.084,FRA,2015
8795,2015-12-31,933,95.0,Zhapo,21.583000000000002,111.81700000000001,CHN,2015
7510,2015-12-31,754,95.0,Lowestoft,52.473,1.75,GBR,2015
13831,2015-12-31,1469,95.0,Port Vendres,42.52,3.1069999999999998,FRA,2015
650,2015-12-31,51,94.0,Batumi,41.633,41.7,GEO,2015
3705,2015-12-31,351,94.0,Newport,41.505,-71.327,USA,2015
5520,2015-12-31,488,93.0,Tarifa,36.009,-5.603,ESP,2015
4778,2015-12-31,427,93.0,Charlottetown,46.233000000000004,-63.117,CAN,2015
1279,2015-12-31,112,93.0,Fernandina Beach,30.671999999999997,-81.465,USA,2015
11940,2015-12-31,1265,92.0,Akune,32.018,130.191,JPN,2015
14538,2015-12-31,1590,91.0,Tauranga (Salisbury Wharf),-37.641,176.18099999999998,NZL,2015
10467,2015-12-31,1115,91.0,Carnarvon,-24.899,113.65100000000001,AUS,2015
4315,2015-12-31,394,90.0,Cebu,10.3,123.917,PHL,2015
10839,2015-12-31,1156,90.0,Dauphin Island,30.25,-88.075,USA,2015
14166,2015-12-31,1527,90.0,Gunsan (Outer Port),35.976,126.56299999999999,KOR,2015
3056,2015-12-31,246,89.0,Pensacola,30.403000000000002,-87.21,USA,2015
9940,2015-12-31,1096,89.0,Nisinoomote,30.735,130.99200000000002,JPN,2015
9661,2015-12-31,1069,88.0,Victor Harbour,-35.562,138.635,AUS,2015
10250,2015-12-31,1106,88.0,Fort Myers,26.647,-81.87,USA,2015
10870,2015-12-31,1157,87.0,Weipa,-12.667,141.86700000000002,AUS,2015
4253,2015-12-31,392,87.0,Port Aux Basques,47.567,-59.133,CAN,2015
4871,2015-12-31,430,87.0,Providence (State Pier),41.806999999999995,-71.4,USA,2015
12730,2015-12-31,1349,87.0,Lower Escuminac,47.083,-64.883,CAN,2015
12274,2015-12-31,1318,87.0,Kariya,33.473,129.849,JPN,2015
9537,2015-12-31,1065,87.0,Whangarei Harbour (Marsden Point),-35.757,174.35,NZL,2015
15311,2015-12-31,1801,86.0,Boucau,43.527,-1.515,FRA,2015
3210,2015-12-31,258,86.0,Ponta Delgada,37.736,-25.671,PRT,2015
5427,2015-12-31,485,86.0,Santander I,43.461000000000006,-3.7910000000000004,ESP,2015
15342,2015-12-31,2021,85.0,Casilda Ii,21.753,-79.992,CUB,2015
10095,2015-12-31,1101,84.0,Fukue,32.696,128.849,JPN,2015
1573,2015-12-31,133,84.0,Hosojima,32.429,131.66899999999998,JPN,2015
10653,2015-12-31,1150,84.0,Shirahama,33.684,135.375,JPN,2015
12913,2015-12-31,1365,84.0,Sokcho,38.207,128.594,KOR,2015
8246,2015-12-31,822,82.0,Brisbane (West Inner Bar),-27.366999999999997,153.167,AUS,2015
10992,2015-12-31,1191,81.0,Katsuura,35.129,140.249,JPN,2015
11054,2015-12-31,1193,80.0,Apalachicola,29.726999999999997,-84.98200000000001,USA,2015
5117,2015-12-31,448,79.0,Port Adelaide (Outer Harbor),-34.78,138.481,AUS,2015
14693,2015-12-31,1595,79.0,Pulau Pinang,5.422000000000001,100.34700000000001,MYS,2015
6353,2015-12-31,563,78.0,Gibara,21.108,-76.125,CUB,2015
14507,2015-12-31,1589,78.0,Tanjung Gelang,3.975,103.43,MYS,2015
3179,2015-12-31,256,77.0,La Jolla (Scripps Pier),32.867,-117.257,USA,2015
92,2015-12-31,5,77.0,Holyhead,53.31399999999999,-4.62,GBR,2015
12150,2015-12-31,1294,77.0,Le Conquet,48.358999999999995,-4.781000000000001,FRA,2015
4470,2015-12-31,407,77.0,Uchiura,35.016999999999996,138.89,JPN,2015
10312,2015-12-31,1108,76.0,Mukho,37.55,129.116,KOR,2015
9229,2015-12-31,1001,74.0,San Juan,18.458,-66.115,PRI,2015
14414,2015-12-31,1586,74.0,Izuhara Ii,34.198,129.292,JPN,2015
3643,2015-12-31,332,74.0,Eastport,44.903,-66.982,USA,2015
8614,2015-12-31,836,74.0,Port Nolloth,-29.256999999999998,16.868,ZAF,2015
4532,2015-12-31,409,73.0,Posidhonia,37.951,22.96,GRC,2015
1821,2015-12-31,154,73.0,Trieste,45.647,13.758,ITA,2015
13679,2015-12-31,1447,73.0,"Lime Tree Bay, St Croix",17.692999999999998,-64.753,VIR,2015
15157,2015-12-31,1640,72.0,Port Orford,42.738,-124.49799999999999,USA,2015
15188,2015-12-31,1641,71.0,"Panama City, St.Andrews Bay, Fl",30.151999999999997,-85.667,USA,2015
14940,2015-12-31,1633,71.0,Cherry Point,48.863,-122.757,USA,2015
9043,2015-12-31,982,71.0,Devonport,50.368,-4.185,GBR,2015
8583,2015-12-31,835,70.0,Karumba,-17.5,140.833,AUS,2015
30,2015-12-31,1,70.0,Brest,48.383,-4.495,FRA,2015
3148,2015-12-31,255,70.0,Dover,51.114,1.3230000000000002,GBR,2015
14073,2015-12-31,1501,69.0,Pointe Des Galets,-20.935,55.285,REU,2015
13586,2015-12-31,1444,69.0,Springmaid Pier,33.655,-78.918,USA,2015
10684,2015-12-31,1151,68.0,Naha,26.213,127.665,JPN,2015
3550,2015-12-31,314,68.0,Stornoway,58.208,-6.388999999999999,GBR,2015
2469,2015-12-31,196,66.0,"Sydney, Fort Denison 2",-33.855,151.226,AUS,2015
11299,2015-12-31,1213,66.0,Riviere-Au-Renard,49.0,-64.383,CAN,2015
6076,2015-12-31,525,65.0,"Bar Harbor, Frenchman Bay, Me",44.391999999999996,-68.205,USA,2015
1542,2015-12-31,132,65.0,Wajima,37.406,136.9,JPN,2015
7479,2015-12-31,753,65.0,Kashiwazaki,37.357,138.50799999999998,JPN,2015
11508,2015-12-31,1238,65.0,Alexandroupolis,40.844,25.878,GRC,2015
13648,2015-12-31,1446,64.0,Tongyeong,34.828,128.435,KOR,2015
14476,2015-12-31,1588,63.0,Chujado,33.961999999999996,126.3,KOR,2015
2252,2015-12-31,183,61.0,Portland (Maine),43.657,-70.247,USA,2015
1883,2015-12-31,158,60.0,San Diego (Quarantine Station),32.713,-117.17299999999999,USA,2015
9444,2015-12-31,1037,59.0,Borkum (Fischerbalje),53.558,6.747999999999999,DEU,2015
13219,2015-12-31,1393,59.0,Charlotte Amalie,18.335,-64.92,VIR,2015
123,2015-12-31,7,59.0,Cuxhaven 2,53.867,8.717,DEU,2015
10188,2015-12-31,1104,58.0,Abashiri,44.019,144.286,JPN,2015
2839,2015-12-31,230,57.0,Port Lincoln,-34.716,135.87,AUS,2015
7665,2015-12-31,759,57.0,Magueyes Island,17.97,-67.045,PRI,2015
11384,2015-12-31,1233,56.0,Leros,37.13,26.848000000000003,GRC,2015
8215,2015-12-31,820,56.0,Port Elizabeth,-33.951,25.63,ZAF,2015
7846,2015-12-31,787,55.0,Nelson,-41.261,173.273,NZL,2015
7121,2015-12-31,684,55.0,Murmansk,68.967,33.05,RUS,2015
10405,2015-12-31,1112,54.0,Ullapool,57.895,-5.1579999999999995,GBR,2015
2531,2015-12-31,202,54.0,Newlyn,50.103,-5.542999999999999,GBR,2015
8490,2015-12-31,830,54.0,Lerwick,60.153999999999996,-1.14,GBR,2015
6138,2015-12-31,537,53.0,"Davao, Davao Gulf",7.082999999999999,125.633,PHL,2015
13066,2015-12-31,1388,53.0,Okinawa,26.179000000000002,127.824,JPN,2015
11268,2015-12-31,1212,53.0,Uwajima Ii,33.227,132.55100000000002,JPN,2015
4284,2015-12-31,393,53.0,"St. John'S, Nfld.",47.567,-52.717,CAN,2015
14352,2015-12-31,1568,53.0,Wando,34.315,126.76,KOR,2015
10808,2015-12-31,1155,53.0,Yeosu,34.747,127.766,KOR,2015
4563,2015-12-31,410,53.0,Preveza,38.959,20.756999999999998,GRC,2015
5241,2015-12-31,469,52.0,St Jean De Luz (Socoa),43.395,-1.682,FRA,2015
8857,2015-12-31,936,52.0,Heysham,54.032,-2.92,GBR,2015
5303,2015-12-31,471,51.0,Boulogne,50.728,1.577,FRA,2015
4129,2015-12-31,377,51.0,Santa Monica (Municipal Pier),34.008,-118.5,USA,2015
340,2015-12-31,20,50.0,Vlissingen,51.442,3.596,NLD,2015
7448,2015-12-31,752,50.0,Nezugaseki,38.563,139.546,JPN,2015
1159,2015-12-31,95,50.0,North Shields,55.007,-1.44,GBR,2015
5148,2015-12-31,453,49.0,Le Havre,49.482,0.106,FRA,2015
6045,2015-12-31,524,49.0,Vardo,70.375,31.104,NOR,2015
2438,2015-12-31,195,49.0,"Saint John, N.B.",45.266999999999996,-66.067,CAN,2015
4594,2015-12-31,411,48.0,Kalamai,37.024,22.116,GRC,2015
11756,2015-12-31,1247,48.0,Port Tudy,47.644,-3.446,FRA,2015
2932,2015-12-31,236,48.0,West-Terschelling,53.363,5.22,NLD,2015
5458,2015-12-31,486,48.0,Maloy,61.934,5.113,NOR,2015
11477,2015-12-31,1237,47.0,Khalkis North,38.472,23.593000000000004,GRC,2015
9506,2015-12-31,1062,47.0,Matsuyama Ii,33.859,132.71200000000002,JPN,2015
3857,2015-12-31,361,46.0,Aberdeen I,57.144,-2.077,GBR,2015
11694,2015-12-31,1245,46.0,New Westminster,49.2,-122.917,CAN,2015
433,2015-12-31,24,45.0,Delfzijl,53.326,6.933,NLD,2015
154,2015-12-31,8,45.0,Wismar 2,53.898999999999994,11.458,DEU,2015
495,2015-12-31,32,45.0,Ijmuiden,52.461999999999996,4.555,NLD,2015
14135,2015-12-31,1522,44.0,Nase Iii,28.5,129.5,JPN,2015
371,2015-12-31,22,43.0,Hoek Van Holland,51.978,4.12,NLD,2015
5952,2015-12-31,521,43.0,"Kahului Harbor, Maui Island",20.895,-156.477,USA,2015
11023,2015-12-31,1192,43.0,East London,-33.027,27.932,ZAF,2015
5179,2015-12-31,467,40.0,Cherbourg,49.651,-1.636,FRA,2015
14816,2015-12-31,1628,39.0,Wido,35.618,126.302,KOR,2015
14228,2015-12-31,1545,39.0,Tokyo Iii,35.649,139.77,JPN,2015
5365,2015-12-31,483,39.0,Vigo,42.238,-8.731,ESP,2015
3025,2015-12-31,245,39.0,Los Angeles,33.72,-118.272,USA,2015
464,2015-12-31,25,39.0,Harlingen,53.176,5.409,NLD,2015
7541,2015-12-31,755,39.0,Millport,55.75,-4.906000000000001,GBR,2015
8122,2015-12-31,816,39.0,Wakayama,34.222,135.14600000000002,JPN,2015
7634,2015-12-31,758,38.0,Hammerfest,70.665,23.683000000000003,NOR,2015
11116,2015-12-31,1196,38.0,South Beach,44.625,-124.042,USA,2015
6534,2015-12-31,595,36.0,Wake Island,19.29,166.61700000000002,MHL,2015
247,2015-12-31,11,35.0,Warnemunde 2,54.17,12.103,DEU,2015
13250,2015-12-31,1394,35.0,Point Reyes,37.995,-122.977,USA,2015
8184,2015-12-31,819,34.0,Mar Del Plata (Naval Base),-38.033,-57.516999999999996,ARG,2015
9167,2015-12-31,997,34.0,Ulsan,35.501999999999995,129.387,KOR,2015
3674,2015-12-31,350,33.0,Portsmouth,50.802,-1.111,GBR,2015
6912,2015-12-31,638,33.0,Reykjavik,64.15100000000001,-21.94,ISL,2015
185,2015-12-31,9,33.0,Maassluis,51.918,4.25,NLD,2015
14569,2015-12-31,1591,32.0,Pelabuhan Kelang,3.05,101.35799999999999,MYS,2015
5272,2015-12-31,470,32.0,Zeebrugge,51.35,3.2,BEL,2015
4656,2015-12-31,413,31.0,Oostende,51.233000000000004,2.917,BEL,2015
6503,2015-12-31,593,31.0,Arrecife,28.971999999999998,-13.53,ESP,2015
12460,2015-12-31,1325,31.0,Port Townsend,48.111999999999995,-122.757,USA,2015
4041,2015-12-31,374,30.0,Piraievs,37.937,23.627,GRC,2015
712,2015-12-31,58,29.0,Bergen,60.398,5.32,NOR,2015
5551,2015-12-31,489,29.0,Nieuwpoort,51.15,2.733,BEL,2015
15528,2015-12-31,2107,29.0,Simrishamn,55.558,14.357999999999999,SWE,2015
10343,2015-12-31,1109,28.0,Wick,58.441,-3.0860000000000003,GBR,2015
2622,2015-12-31,213,28.0,Bluff (Southland Harbour),-46.598,168.345,NZL,2015
14662,2015-12-31,1594,28.0,Lumut,4.24,100.613,MYS,2015
13710,2015-12-31,1448,28.0,Koserow,54.06,14.001,DEU,2015
3395,2015-12-31,300,28.0,"Hilo, Hawaii Island",19.73,-155.055,USA,2015
12699,2015-12-31,1347,27.0,Roscoff,48.718,-3.966,FRA,2015
402,2015-12-31,23,27.0,Den Helder,52.964,4.745,NLD,2015
1452,2015-12-31,127,26.0,Seattle,47.602,-122.338,USA,2015
619,2015-12-31,47,25.0,Stavanger,58.974,5.73,NOR,2015
5673,2015-12-31,498,24.0,Ceuta,35.891999999999996,-5.316,ESP,2015
2159,2015-12-31,175,24.0,Vancouver,49.283,-123.117,CAN,2015
13982,2015-12-31,1489,23.0,Heuksando,34.684,125.436,KOR,2015
14631,2015-12-31,1593,23.0,Tanjung Keling,2.215,102.15299999999999,MYS,2015
12792,2015-12-31,1352,21.0,Monterey,36.605,-121.887,USA,2015
7572,2015-12-31,756,21.0,"Nawiliwili Bay, Kauai Island",21.953000000000003,-159.355,USA,2015
7028,2015-12-31,680,18.0,Tromso,69.64699999999999,18.961,NOR,2015
9320,2015-12-31,1027,18.0,Oshoro Ii,43.208999999999996,140.858,JPN,2015
9754,2015-12-31,1089,18.0,Maisaka,34.681999999999995,137.609,JPN,2015
6415,2015-12-31,566,18.0,Cordova,60.558,-145.752,USA,2015
15559,2015-12-31,2110,16.0,Viken,56.141999999999996,12.579,SWE,2015
12305,2015-12-31,1320,16.0,Kure I,33.334,133.243,JPN,2015
14724,2015-12-31,1597,16.0,Rimouski,48.483000000000004,-68.517,CAN,2015
15714,2015-12-31,2261,16.0,Iquique Ii,-20.204,-70.148,CHL,2015
5735,2015-12-31,508,14.0,Port San Luis,35.177,-120.76,USA,2015
4191,2015-12-31,384,13.0,Friday Harbor (Ocean. Labs.),48.547,-123.01,USA,2015
216,2015-12-31,10,12.0,San Francisco,37.806999999999995,-122.465,USA,2015
5210,2015-12-31,468,12.0,Dunkerque,51.048,2.367,FRA,2015
1852,2015-12-31,155,11.0,Honolulu,21.307,-157.86700000000002,USA,2015
12612,2015-12-31,1344,11.0,Ogi,37.815,138.281,JPN,2015
5766,2015-12-31,509,11.0,Alesund,62.468999999999994,6.152,NOR,2015
9413,2015-12-31,1036,10.0,Amrum (Wittduen),54.617,8.383,DEU,2015
9136,2015-12-31,996,10.0,Port Taranaki,-39.056,174.03400000000002,NZL,2015
7059,2015-12-31,681,8.0,Harstad,68.801,16.548,NOR,2015
7179,2015-12-31,701,7.0,Kainan,34.144,135.191,JPN,2015
3426,2015-12-31,302,4.0,Tregde,58.006,7.555,NOR,2015
13340,2015-12-31,1420,4.0,Wallaroo Ii,-33.926,137.615,AUS,2015
61,2015-12-31,3,3.0,Sheerness,51.446000000000005,0.743,GBR,2015
2038,2015-12-31,167,3.0,Prince Rupert,54.317,-130.333,CAN,2015
11998,2015-12-31,1269,2.0,Charleston Ii,43.345,-124.322,USA,2015
7090,2015-12-31,682,2.0,Kristiansund,63.114,7.734,NOR,2015
14445,2015-12-31,1587,2.0,Tappi,41.243,140.381,JPN,2015
7784,2015-12-31,764,1.0,La Paloma,-34.65,-54.15,URY,2015
