,ID,Location,Country,Latitude,Longitude,timestamp,tide
96,1,BREST,FRA,48.383,-4.495,1815-01-01,6893.0
97,1,BREST,FRA,48.383,-4.495,1815-02-01,6917.0
98,1,BREST,FRA,48.383,-4.495,1815-03-01,6949.0
99,1,BREST,FRA,48.383,-4.495,1815-04-01,6811.0
100,1,BREST,FRA,48.383,-4.495,1815-05-01,6863.0
101,1,BREST,FRA,48.383,-4.495,1815-06-01,6942.0
102,1,BREST,FRA,48.383,-4.495,1815-07-01,6845.0
103,1,BREST,FRA,48.383,-4.495,1815-08-01,6900.0
104,1,BREST,FRA,48.383,-4.495,1815-09-01,6991.0
105,1,BREST,FRA,48.383,-4.495,1815-10-01,7090.0
106,1,BREST,FRA,48.383,-4.495,1815-11-01,6959.0
107,1,BREST,FRA,48.383,-4.495,1815-12-01,6950.0
108,1,BREST,FRA,48.383,-4.495,1816-01-01,6938.0
109,1,BREST,FRA,48.383,-4.495,1816-02-01,6906.0
110,1,BREST,FRA,48.383,-4.495,1816-03-01,6904.0
111,1,BREST,FRA,48.383,-4.495,1816-04-01,6963.0
112,1,BREST,FRA,48.383,-4.495,1816-05-01,6887.0
113,1,BREST,FRA,48.383,-4.495,1816-06-01,6822.0
114,1,BREST,FRA,48.383,-4.495,1816-07-01,7001.0
115,1,BREST,FRA,48.383,-4.495,1816-08-01,6952.0
116,1,BREST,FRA,48.383,-4.495,1816-09-01,6995.0
117,1,BREST,FRA,48.383,-4.495,1816-10-01,7069.0
118,1,BREST,FRA,48.383,-4.495,1816-11-01,7052.0
119,1,BREST,FRA,48.383,-4.495,1816-12-01,7014.0
120,1,BREST,FRA,48.383,-4.495,1817-01-01,6997.0
121,1,BREST,FRA,48.383,-4.495,1817-02-01,6773.0
122,1,BREST,FRA,48.383,-4.495,1817-03-01,6843.0
123,1,BREST,FRA,48.383,-4.495,1817-04-01,6740.0
124,1,BREST,FRA,48.383,-4.495,1817-05-01,6946.0
125,1,BREST,FRA,48.383,-4.495,1817-06-01,6915.0
126,1,BREST,FRA,48.383,-4.495,1817-07-01,6955.0
127,1,BREST,FRA,48.383,-4.495,1817-08-01,7026.0
128,1,BREST,FRA,48.383,-4.495,1817-09-01,7025.0
129,1,BREST,FRA,48.383,-4.495,1817-10-01,7045.0
130,1,BREST,FRA,48.383,-4.495,1817-11-01,7025.0
131,1,BREST,FRA,48.383,-4.495,1817-12-01,7036.0
132,1,BREST,FRA,48.383,-4.495,1818-01-01,6931.0
133,1,BREST,FRA,48.383,-4.495,1818-02-01,6972.0
134,1,BREST,FRA,48.383,-4.495,1818-03-01,6911.0
135,1,BREST,FRA,48.383,-4.495,1818-04-01,7032.0
136,1,BREST,FRA,48.383,-4.495,1818-05-01,6970.0
137,1,BREST,FRA,48.383,-4.495,1818-06-01,6912.0
138,1,BREST,FRA,48.383,-4.495,1818-07-01,6902.0
139,1,BREST,FRA,48.383,-4.495,1818-08-01,6928.0
140,1,BREST,FRA,48.383,-4.495,1818-09-01,6982.0
141,1,BREST,FRA,48.383,-4.495,1818-10-01,7053.0
142,1,BREST,FRA,48.383,-4.495,1818-11-01,7074.0
143,1,BREST,FRA,48.383,-4.495,1818-12-01,6914.0
144,1,BREST,FRA,48.383,-4.495,1819-01-01,7015.0
145,1,BREST,FRA,48.383,-4.495,1819-02-01,6955.0
146,1,BREST,FRA,48.383,-4.495,1819-03-01,6813.0
147,1,BREST,FRA,48.383,-4.495,1819-04-01,6963.0
148,1,BREST,FRA,48.383,-4.495,1819-05-01,6946.0
149,1,BREST,FRA,48.383,-4.495,1819-06-01,6883.0
150,1,BREST,FRA,48.383,-4.495,1819-07-01,6886.0
151,1,BREST,FRA,48.383,-4.495,1819-08-01,6832.0
152,1,BREST,FRA,48.383,-4.495,1819-09-01,6949.0
153,1,BREST,FRA,48.383,-4.495,1819-10-01,7014.0
154,1,BREST,FRA,48.383,-4.495,1819-11-01,7022.0
155,1,BREST,FRA,48.383,-4.495,1819-12-01,7017.0
156,1,BREST,FRA,48.383,-4.495,1820-01-01,6954.0
157,1,BREST,FRA,48.383,-4.495,1820-02-01,6894.0
158,1,BREST,FRA,48.383,-4.495,1820-03-01,6786.0
159,1,BREST,FRA,48.383,-4.495,1820-04-01,6832.0
160,1,BREST,FRA,48.383,-4.495,1820-05-01,6916.0
161,1,BREST,FRA,48.383,-4.495,1820-06-01,6806.0
162,1,BREST,FRA,48.383,-4.495,1820-07-01,6879.0
