year,month,day,tide
1947,2,9,1072
1947,2,10,984
1947,2,11,1006
1947,2,12,1043
1947,2,13,1053
1947,2,14,1196
1947,2,15,1302
1947,2,16,1144
1947,2,17,1008
1947,2,18,992
1947,2,19,1004
1947,2,20,988
1947,2,21,1005
1947,2,22,1032
1947,2,23,1137
1947,2,24,1145
1947,2,25,936
1947,2,26,863
1947,2,27,840
1947,2,28,884
1947,3,1,986
1947,3,2,1002
1947,3,3,1077
1947,3,4,1055
1947,3,5,970
1947,3,6,951
1947,3,7,919
1947,3,8,956
1947,3,9,965
1947,3,10,1060
1947,3,11,1138
1947,3,12,1188
1947,3,13,1117
1947,3,14,990
1947,3,15,1025
1947,3,16,974
1947,3,17,945
1947,3,18,1040
1947,3,19,1017
1947,3,20,908
1947,3,21,842
1947,3,22,823
1947,3,23,835
1947,3,24,862
1947,3,25,867
1947,3,26,841
1947,3,27,838
1947,3,28,846
1947,3,29,854
1947,3,30,870
1947,3,31,875
1947,4,1,899
1947,4,2,897
1947,4,3,869
1947,4,4,865
1947,4,5,875
1947,4,6,879
1947,4,7,886
1947,4,8,889
1947,4,9,875
1947,4,10,845
1947,4,11,837
1947,4,12,842
1947,4,13,854
1947,4,14,883
1947,4,15,940
1947,4,16,952
1947,4,17,927
1947,4,18,943
1947,4,19,959
1947,4,20,920
1947,4,21,910
1947,4,22,914
1947,4,23,893
1947,4,24,879
1947,4,25,877
1947,4,26,873
1947,4,27,875
1947,4,28,873
1947,4,29,845
1947,4,30,825
1947,5,1,858
1947,5,2,909
1947,5,3,901
1947,5,4,896
1947,5,5,914
1947,5,6,912
1947,5,7,928
1947,5,8,964
1947,5,9,947
1947,5,10,945
1947,5,11,950
1947,5,12,936
1947,5,13,908
1947,5,14,886
1947,5,15,911
1947,5,16,950
1947,5,17,957
1947,5,18,926
1947,5,19,914
1947,5,20,925
1947,5,21,936
1947,5,22,942
1947,5,23,935
1947,5,24,929
1947,5,25,933
1947,5,26,951
1947,5,27,978
1947,5,28,988
1947,5,29,1004
1947,5,30,1033
1947,5,31,1060
1947,6,1,1069
1947,6,2,1047
1947,6,3,1038
1947,6,4,1040
1947,6,5,1038
1947,6,6,1013
1947,6,7,994
1947,6,8,1019
1947,6,9,1040
1947,6,10,1021
1947,6,11,1025
1947,6,12,1039
1947,6,13,1023
1947,6,14,1013
1947,6,15,999
1947,6,16,977
1947,6,17,979
1947,6,18,986
1947,6,19,990
1947,6,20,1000
1947,6,21,991
1947,6,22,967
1947,6,23,951
1947,6,24,949
1947,6,25,971
1947,6,26,976
1947,6,27,968
1947,6,28,969
1947,6,29,964
1947,6,30,962
1947,7,1,956
1947,7,2,949
1947,7,3,956
1947,7,4,945
1947,7,5,940
1947,7,6,942
1947,7,7,934
