STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE
1265,P123,25.604,0.007,,,2018.0000,ULR6,2003-06-12,2019-01-19
1318,P121,25.064,0.006,,,2018.0000,ULR6,2003-06-11,2019-01-19
1320,P120,29.207,0.006,,,2018.0000,ULR6,2003-06-09,2019-01-19
1326,SHE2,-26.930,0.012,-0.02,0.32,2018.0000,ULR6,2007-02-11,2019-01-19
1343,P113,33.415,0.008,,,2018.0000,ULR6,2003-06-10,2019-01-19
1344,P109,31.165,0.006,,,2018.0000,ULR6,2003-06-05,2019-01-19
1345,P106,34.738,0.007,,,2018.0000,ULR6,2003-06-10,2011-03-11
1347,ROTG,43.532,0.008,-1.29,0.33,2018.0000,ULR6,2009-08-25,2019-01-19
1364,P205,33.308,0.007,,,2018.0000,ULR6,2003-06-11,2019-01-19
1388,P124,23.999,0.005,,,2018.0000,ULR6,2003-06-13,2019-01-19
1389,P207,31.280,0.006,,,2018.0000,ULR6,2003-06-04,2019-01-19
1391,P213,43.142,0.006,-0.65,0.45,2018.0000,ULR6,2003-04-01,2016-07-10
1397,PAPE,1.283,0.005,-1.94,0.23,2018.0000,ULR6,2003-12-12,2019-01-19
1437,P114,33.356,0.005,,,2018.0000,ULR6,2003-06-10,2019-01-19
1438,P115,33.098,0.006,,,2018.0000,ULR6,2003-06-11,2019-01-19
1443,RBAY,17.912,0.005,,,2018.0000,ULR6,2000-10-03,2019-01-18
1455,ALME,42.863,0.005,,,2017.9987,NGL,2000-12-30,2019-01-19
1460,CARG,42.653,0.002,,,2017.9987,NGL,2014-05-23,2019-01-19
1492,TOW2,51.548,0.003,-0.60,0.20,2018.0000,ULR6,1995-03-14,2019-01-19
1506,PTSV,-7.867,0.002,,,2017.9987,NGL,2010-08-30,2019-01-19
1547,PTLD,-10.513,0.012,,,2018.0000,ULR6,2009-09-01,2019-01-19
1585,P209,26.610,0.005,,,2018.0000,ULR6,2003-06-17,2019-01-19
1642,MAYG,-26.614,0.002,,,2017.9987,NGL,2013-12-22,2019-01-19
1645,GLPS,-10.996,0.011,-0.28,0.27,2018.0000,ULR6,2003-01-07,2019-01-19
1674,HKQT,-8.288,0.003,,,2017.7275,NGL,null,null
1703,GETI,-13.897,0.023,,,2018.0000,ULR6,1999-01-01,2015-11-30
1739,KIRI,25.377,0.020,-0.20,0.24,2018.0000,ULR6,2002-07-29,2018-11-01
